Key,en,id,es,pt,sw,fr,mg
pages.assessments.edit.offlineSurveyWarning,"Please ensure that offline edits happen in the same browser. If you switch browsers before turning the survey online again, you may lose your offline edits.",,"Asegúrese de que las ediciones sin conexión se realicen en el mismo navegador. Si cambia de navegador antes de volver a poner la encuesta en línea, es posible que pierda sus ediciones fuera de línea.",,"Tafadhali hakikisha kuwa mabadiliko ya nje ya mtandao yanafanyika katika kivinjari sawa. Ukibadilisha vivinjari kabla ya kugeuza utafiti mtandaoni tena, unaweza kupoteza mabadiliko yako ya nje ya mtandao.","Veuillez vous assurer que les modifications hors ligne se produisent dans le même navigateur. Si vous changez de navigateur avant de remettre le sondage en ligne, vous risquez de perdre vos modifications hors ligne.","Ataovy anatin'ny mpitety tranonkala iray ihany ny fanovana atao ivelan'ny aterineto. Raha manova mpitety tranonkala ianao mialoha ny hampiverenana amin'ny aterineto ilay fanadihadiana, dia mety ho very ireo fanovana natao."
pages.assessments.edit.optionalAttributesDescription,Select the attributes that correspond with your Assessment,Pilih atribut yang sesuai dengan Penilaian Anda,Select the attributes that correspond with your Assessment,Selecione os atributos que correspondem à sua Avaliação,Chagua sifa zinasohusiana na tathmini yako,Sélectionnez les attributs qui correspondent à votre évaluation,Safidio ireo sokajy mifanaraka amin'ny fanombananao.
pages.assessments.edit.optionalAttributesTitle,Optional attributes,Atribut Opsional,Optional attributes,Atributos Opcionais,Sifa za hiari,Attributs facultatifs,Sokajy tsy voatery safidiana
pages.assessments.edit.saveButton,Save,Simpan,Ahorrar,Salvar,Hifadhi,Sauvegarder,Tehirizo
pages.assessments.edit.seeQuestions,See Questions,Lihat Pertanyaan,See Questions,Ver Perguntas,Angalia maswali,Voir les questions,Hijery ireo fanontaniana
pages.assessments.edit.tabs.collaborators.addCollaboratorButton,Add collaborator,Tambah kolaborator,Añadir colaborador,Adicionar colaborador,Ongeza mshirika,Ajouter un collaborateur,Hanampy mpiara-miasa
pages.assessments.edit.tabs.collaborators.description,Collaborators are people who are involved in completing this assessment or need access that is not available to other users,Kolaborator adalah orang-orang yang terlibat dalam menyelesaikan penilaian ini atau membutuhkan akses yang tidak tersedia untuk pengguna lain,Los colaboradores son personas que participan en la realización de esta evaluación o que necesitan acceso que no está disponible para otros usuarios.,Colaboradores são pessoas envolvidas na conclusão desta avaliação ou que precisam de acesso que não está disponível para outros usuários,Washiriki ni watu wanaohusika katika kukamilisha tathmini hii au wanahitaji ufikiaji ambao haupatikani kwa watumiaji wengine.,Les collaborateurs sont des personnes qui participent à la réalisation de cette évaluation ou qui ont besoin d'un accès qui n'est pas disponible pour les autres utilisateurs,Ny mpiara-miasa dia olona mandray anjara amin'ny fanatanterahana ity fanombanana ity na olona mila fahafahana miditra izay tsy ananan'ny mpampiasa hafa.
pages.assessments.edit.tabs.collaborators.popups.add.description,Type the first few characters of the collaborator username then select collaborator below and specify the level of access that you would like them to have. Collaborators must create accounts before you can add them.,Ketik beberapa karakter pertama dari nama pengguna kolaborator lalu pilih kolaborator di bawah ini dan tentukan tingkat akses yang ingin Anda berikan kepada mereka. Kolaborator harus membuat akun sebelum Anda dapat menambahkannya.,"Escriba los primeros caracteres del nombre de usuario del colaborador, luego seleccione colaborador a continuación y especifique el nivel de acceso que desea que tenga. Los colaboradores deben crear cuentas antes de que puedas agregarlos.","Digite os primeiros caracteres do nome de usuário do colaborador, selecione o colaborador abaixo e especifique o nível de acesso que você gostaria que ele tivesse. Os colaboradores devem criar contas antes de você poder adicioná-los.",Andika herufi chache za kwanza za jina la mtumiaji la mshirika kisha uchague mshirika hapa chini na ubainishe kiwango cha ufikiaji ambacho ungependa awe nacho. Ni lazima washirika wafungue akaunti kabla ya kuziongeza.,"Tapez les premiers caractères du nom d'utilisateur du collaborateur, puis sélectionnez Collaborateur ci-dessous et spécifiez le niveau d'accès que vous souhaitez qu'il ait. Les collaborateurs doivent créer des comptes avant que vous puissiez les ajouter.",Soraty ny tarehin-tsoratra voalohany amin'ny anaran'ny mpampiasa . Rehefa izay dia fanteno eo ambany ny Mpiara-miasa ary farito ny tahan'ny fidirana tianao omena azy. Tokony hamorona kaonty aloha ny Mpiara-miasa vao afaka ampidirinao izy ireo.
pages.assessments.edit.tabs.collaborators.popups.add.error,Validation error,Kesalahan validasi,Error de validacion,Erro de validação,Hitilafu ya uthibitishaji,Erreur de validation,Fahadisoam-panamarinana
pages.assessments.edit.tabs.collaborators.popups.add.help,Didn’t you find your Collaborator? Ask them to create an Elinor account first,Tidak menemukan Kolaborator Anda? Mintalah mereka untuk membuat akun Elinor terlebih dahulu,¿No encontraste a tu colaborador? Pídales que primero creen una cuenta de Elinor.,Você não encontrou seu colaborador? Peça-lhes para criarem uma conta Elinor primeiro,"Je, hukumpata Mshiriki wako? Waambie wafungue akaunti ya Elinor kwanza",FAUX,DISO
pages.assessments.edit.tabs.collaborators.popups.add.roleAndPermissions,Select role & permissions,Pilih peran & izin,Seleccionar rol y permisos,Selecione função e permissões,Chagua jukumu na ruhusa,Sélectionnez le rôle et les autorisations,Safidio ny andraikitra sy ny fazahoan-dalana.
pages.assessments.edit.tabs.collaborators.popups.add.roles.admin.name,Admin,Admin,Administrador,Administrador,Msimamizi,Admin,Mpandrindra
pages.assessments.edit.tabs.collaborators.popups.add.roles.admin.permission1,Edit the Assessment data,Edit data Penilaian,Editar los datos de la evaluación,Edite os dados da avaliação,Hariri data ya Tathmini,Modifier les données d'évaluation,Hanova angon-drakitra fanombanana
pages.assessments.edit.tabs.collaborators.popups.add.roles.admin.permission2,Edit Survey data,Edit data Survei,Editar datos de la encuesta,Editar dados da pesquisa,Badilisha data ya Utafiti,Modifier les données d'un sondage,Hanova angon-drakitra fanadihadiana
pages.assessments.edit.tabs.collaborators.popups.add.roles.admin.permission3,Edit MA location,Edit lokasi KA,Editar ubicación AG,Editar localização da Área de Manejo,Hariri eneo la MA,Modifier l'emplacement de la zone sous gestion,Hanova toerana misy ny faritra tantanana
pages.assessments.edit.tabs.collaborators.popups.add.roles.admin.permission4,"Add/Edit Admin, Contributors & Observers","Tambah/Edit Admin, Kontributor & Pengamat","Agregar/editar administradores, colaboradores y observadores","Adicionar/editar administradores, colaboradores e observadores","Ongeza/Hariri Msimamizi, Wachangiaji na Waangalizi","Ajouter/Modifier Admin, Contributeurs & Observateurs","Hanampy/ Hanova Mpandrindra, Mpandray anjara & Mpanara-maso"
pages.assessments.edit.tabs.collaborators.popups.add.roles.admin.permission5,Delete the Assessment,Hapus Penilaian,Eliminar la evaluación,Excluir a avaliação,Futa Tathmini,Supprimer l'évaluation,Hamafa ny fanombanana
pages.assessments.edit.tabs.collaborators.popups.add.roles.admin.permission6,Publish & Unpublish Assessment,Publikasikan & Batalkan publikasi Penilaian,Evaluación de publicación y anulación de publicación,Publicar e cancelar publicação da avaliação,Chapisha na Batilisha Uchapishaji Tathmini,Publier et Annuler la publication de l'évaluation,Hamoaka sy Hanafoana ny Famoahana ny Fanombanana
pages.assessments.edit.tabs.collaborators.popups.add.roles.contributor.name,Contributor,Kontributor,Colaborador,Contribuidor,Mchangiaji,Contributeur,Mpandray anjara
pages.assessments.edit.tabs.collaborators.popups.add.roles.contributor.permission1,Edit the Survey data,Edit data Survei,Editar los datos de la encuesta,Edite os dados da avaliação,Hariri data ya Utafiti,Modifier les données du sondage,Hanova ny angon-drakitry ny fanangonan-kevitra
pages.assessments.edit.tabs.collaborators.popups.add.roles.contributor.permission2,Edit the MA location data,Edit data lokasi KA,Editar los datos de ubicación de AG,Edite os dados de localização da Área de Manejo,Hariri data ya eneo la MA,Modifier les données de localisation de la zone sous gestion,Hanova ny angon-drakitra momba ny toerana misy ny faritra tantanana
pages.assessments.edit.tabs.collaborators.popups.add.roles.contributor.permission3,View the Assessment data,Lihat data Penilaian,Ver los datos de la evaluación,Visualizar os dados da avaliação,Tazama data ya Tathmini,Afficher les données d'évaluation,Hijery ny angon-drakitra fanombanana
pages.assessments.edit.tabs.collaborators.popups.add.roles.contributor.permission4,View the Survey data,Lihat data Survei,Ver los datos de la encuesta,Visualizar os dados da pesquisa,Tazama data ya Utafiti,Afficher les données de l'enquête,Hijery ny angon-drakitra fanadihadiana
pages.assessments.edit.tabs.collaborators.popups.add.roles.contributor.permission5,View the MA location,Lihat lokasi KA,Ver la ubicación de AG,Veja a localização da Área de Manejo,Tazama eneo la MA,Voir l'emplacement de la zone sous gestion,Hijery ny toerana misy ny faritra tantanana
pages.assessments.edit.tabs.collaborators.popups.add.roles.observer.name,Observer,Pengamat,Observador,Observador,Mtazamaji,Observateur,Mpanara-maso
pages.assessments.edit.tabs.collaborators.popups.add.roles.observer.permission1,View the Assessment data,Lihat data Penilaian,Ver los datos de la evaluación,Visualizar os dados da avaliação,Tazama data ya Tathmini,Afficher les données d'évaluation,Hijery ny angon-drakitra fanombanana
pages.assessments.edit.tabs.collaborators.popups.add.roles.observer.permission2,View the Survey data,Lihat data Survei,Ver los datos de la encuesta,Visualizar os dados da pesquisa,Tazama data ya Utafiti,Afficher les données de l'enquête,Hijery ny angon-drakitry ny fanadihadiana
pages.assessments.edit.tabs.collaborators.popups.add.roles.observer.permission3,View the MA location,Lihat lokasi KA,Ver la ubicación de MA,Veja a localização da Área de Manejo,Tazama eneo la MA,Voir l'emplacement de la zone sous gestion,Hijery ny toerana misy ny faritra tantanana
pages.assessments.edit.tabs.collaborators.popups.add.selectCollaboratorLabel,Collaborator,Kolaborator,Colaborador,Colaborador,Mshiriki,Collaborateur,Mpiara-miasa
pages.assessments.edit.tabs.collaborators.popups.add.selectCollaboratorNote,Didn’t you find your Collaborator? Ask them to create an Elinor account first.,,,,,,
pages.assessments.edit.tabs.collaborators.popups.add.selectCollaboratorTitle,Select collaborator,Pilih kolaborator,Seleccionar colaborador,Selecione o colaborador,Chagua mshirika,Sélectionner un collaborateur,Misafidy Mpiara-miasa iray
pages.assessments.edit.tabs.collaborators.popups.add.submit,Add collaborator,Tambah kolaborator,Añadir colaborador,Adicionar colaborador,Ongeza mshirika,Ajouter un collaborateur,Hanampy mpiara-miasa
pages.assessments.edit.tabs.collaborators.popups.add.title,Add Collaborator,Tambah Kolaborator,Añadir colaborador,Adicionar colaborador,Ongeza Mshiriki,Ajouter un collaborateur,Hanampy mpiara-miasa
pages.assessments.edit.tabs.collaborators.popups.delete.confirmationDescription,By clicking yes you will remove the collaborator making them unable to access the assessment.,"Dengan mengklik ya, Anda akan menghapus kolaborator sehingga mereka tidak dapat mengakses penilaian.","Al hacer clic en Sí, eliminará al colaborador y no podrá acceder a la evaluación.",Ao clicar em sim você removerá o colaborador impossibilitando-o de acessar a avaliação.,Kwa kubofya ndiyo utaondoa mshirika kumfanya ashindwe kufikia tathmini.,"En cliquant sur oui, vous supprimerez le collaborateur, ce qui l'empêchera d'accéder à l'évaluation.","Rehefa manindry ny Eny ianao, dia hesorina ilay mpiara-miasa ka tsy hahazo alalana hiditra amin'ny fanombanana intsony."
pages.assessments.edit.tabs.collaborators.popups.delete.confirmationTitle,Are you sure?,Apakah Anda yakin?,Estas seguro,Tem certeza?,Una uhakika?,Etes-vous sûr(e)?,Azonao antoka ve?
pages.assessments.edit.tabs.collaborators.popups.delete.title,Deleting Collaborator,Menghapus Kolaborator,Eliminando colaborador,Excluindo Colaborador,Inafuta Mshiriki,Suppression d'un collaborateur,Hanala mpandray anjara
pages.assessments.edit.tabs.collaborators.tabButton,Collaborators,Kolaborator,Colaboradores,Contribuidores,Washiriki,Collaborateurs,Mpiara-miasa
pages.assessments.edit.tabs.collaborators.table.action,Action,Tindakan,acción,ação,kitendo,action,hetseham-pandeha
pages.assessments.edit.tabs.collaborators.table.admin,Admin,Admin,Administrador,Administrador,,Admin,Mpandrindra
pages.assessments.edit.tabs.collaborators.table.contributor,Contributor,Kontributor,Contribuyente,Contribuidor,Mchangiaji,Contributeur,Mpandray anjara
pages.assessments.edit.tabs.collaborators.table.name,Name,Nama,Nombre,Nome,Jina,Nom,Anarana
pages.assessments.edit.tabs.collaborators.table.observer,Observer,Pengamat,Observador,Observador,Mtazamaji,Observateur,Mpanara-maso
pages.assessments.edit.tabs.collaborators.title,Collaborators,Kolaborator,Colaboradores,Contribuidores,Washiriki,Collaborateurs,Mpiara-miasa
pages.assessments.edit.tabs.context.tabButton,Report text,,,,,,
pages.assessments.edit.tabs.data.dropzone.notes,"Maximum file size 20 MB, any file formats. Maximum upload time 5 mins (do not attempt on slow connection.)",,,,,,
pages.assessments.edit.tabs.data.dropzone.placeholder,Click here to select the file or drag the file here,,,,,,
pages.assessments.edit.tabs.data.gender.female,Female,Perempuan,Femenina,Fêmea,Mwanamke,Femelle,Vehivavy
pages.assessments.edit.tabs.data.gender.male,Male,Laki-laki,Masculino,Macho,Mwanaume,Mâle,Lehilahy
pages.assessments.edit.tabs.data.gender.nonBinary,Non binary,Non-biner,No binario/a,Não binário,Isiyo ya binary,Non binaire," Tsy lahy, tsy vavy"
pages.assessments.edit.tabs.data.gender.preferNotToSay,Prefer not to say,Tidak ingin menyebutkan,Prefiero no decirlo,Prefiro não dizer,Pendelea kutosema,Je préfère ne pas répondre,Aleoko tsy lazaina
pages.assessments.edit.tabs.data.gender.title,Gender representation of stakeholders consulted,Representasi gender dari pemangku kepentingan yang dikonsultasikan,Representación de género de los titulares de derechos y otros actores consultados,Representação de género dos titulares de direitos e outros atores consultadas,Uwakilishi wa jinsia wa wenye haki na wahusika wengine ulishauriwa,Représentation des sexes parmi les parties prenantes consultées,Fisoloan-tenan'ny lahy sy vavy tamin'ireo mpisehatra nakana hevitra
pages.assessments.edit.tabs.data.labels.collectionMethods,How was the information in this assessment gathered?,Bagaimana informasi dalam penilaian ini dikumpulkan?,¿Cómo se recopiló la información en esta evaluación?,Como foi recolhida a informação nesta avaliação?,"Je, taarifa katika tathmini hii ilikusanywa vipi?",Comment l'information contenue dans cette évaluation a-t-elle été recueillie ?,Ahoana no nanangonana ny torohay tamin'ity fanombanana ity?
pages.assessments.edit.tabs.data.labels.collectionMethodsText,"Rationale for assessment (e.g. annual monitoring, project baseline)","Rasional untuk penilaian (misalnya, pemantauan tahunan, baseline proyek)","Justificación de la evaluación (p. ej., seguimiento anual, línea de base del proyecto)","Justificativa para avaliação (por exemplo, monitoramento anual, linha de base do projeto)","Sababu za tathmini (k.m. ufuatiliaji wa kila mwaka, msingi wa mradi)","Justification de l'évaluation (p. ex., suivi annuel, base de référence du projet)","Ny anton'ny fanombanana (ohatra: fanaraha-maso isan-taona, fototra iorenan'ny tetikasa)"
pages.assessments.edit.tabs.data.labels.consentGiven,Has someone in the governance authority provided his or her consent for this assessment to take place?,Apakah seseorang dalam otoritas tata kelola telah memberikan persetujuannya agar penilaian ini dapat dilakukan?,¿Alguien en la autoridad de gobierno ha dado su consentimiento para que se lleve a cabo esta evaluación?,Alguém na autoridade de governação deu o seu consentimento para que esta avaliação fosse realizada?,"Je, kuna mtu katika mamlaka ya utawala ametoa kibali chake kwa tathmini hii kufanyika?",Quelqu'un de l'autorité de gouvernance a-t-il donné son consentement pour que cette évaluation ait lieu ?,Nisy olona avy ao amin'ny fahefana mpitantana ve nanome ny fahazoan-dalana hanaovana ity fanombanana ity?
pages.assessments.edit.tabs.data.labels.consentGivenWritten,Has the governance authority provided written consent?,Apakah otoritas tata kelola telah memberikan persetujuan tertulis?,¿La autoridad de gobierno ha dado su consentimiento por escrito?,A autoridade de governança forneceu consentimento por escrito?,"Je, mamlaka ya utawala imetoa kibali cha maandishi?",L'autorité de gouvernance a-t-elle donné son consentement écrit ?,Nanome fanekena an-tsoratra ve ny fahefana mpitantana?
pages.assessments.edit.tabs.data.labels.managementPlan.anyFile,can be any file,bisa file apa saja,puede ser cualquier archivo,pode ser qualquer arquivo,inaweza kuwa faili yoyote,peut être n'importe quel fichier,mety ho rakitra karazany rehetra
pages.assessments.edit.tabs.data.labels.managementPlan.maxSize,max size: 100M,ukuran maks: 100M,Tamaño máximo: 100M,Tamanho máximo: 100M,Ukubwa wa juu: 100M,taille max : 100M,habeny ambony indrindra: 100M
pages.assessments.edit.tabs.data.labels.managementPlan.maxUploadTime,max upload time: 5 mins (so don't attempt large uploads on slow connection),waktu unggah maks: 5 menit (jadi jangan coba unggah besar di koneksi lambat),tiempo máximo de carga: 5 minutos (así que no intente cargas grandes en una conexión lenta),"tempo máximo de upload: 5 minutos (portanto, não tente fazer uploads grandes em conexões lentas)",muda wa juu zaidi wa kupakia: dakika 5 (kwa hivyo usijaribu upakiaji mkubwa kwenye muunganisho wa polepole),Temps de téléchargement maximum : 5 minutes (ne tentez donc pas de téléchargements volumineux sur une connexion lente),Fotoana lava indrindra fampidirina: 5 minitra (koa aza manandrana mampiditra rakitra mavesatra raha miadana ny fifandraisana aterineti ampiasainao)
pages.assessments.edit.tabs.data.labels.managementPlan.title,Upload a Management Plan File,Unggah File Rencana Pengelolaan,Subir un archivo de plan de gestión,Carregar um arquivo de plano de manejo,Pakia Faili ya Mpango wa Usimamizi,Télécharger un fichier de plan de gestion,Ampidiro ny rakitry ny drafitra fitantanana
pages.assessments.edit.tabs.data.labels.name,Name of assessment,Nama penilaian,Nombre de la evaluación,Nome da avaliação,Jina la tathmini,Nom de l'évaluation,Anaran'ny fanombanana
pages.assessments.edit.tabs.data.labels.organization,Name of institution associated with this assessment,Nama lembaga yang terkait dengan penilaian ini,Nombre de la institución asociada con esta evaluación,Nome da instituição associada a esta avaliação,Jina la taasisi inayohusishwa na tathmini hii,Nom de l'établissement associé à cette évaluation,Anaran'ny rafitra mifandraika amin'ity fanombanana ity
pages.assessments.edit.tabs.data.labels.personResponsibleRole,Role of the person responsible for completing this Assessment,Peran orang yang bertanggung jawab menyelesaikan Penilaian ini,Rol de la persona responsable de completar esta Evaluación,Papel da pessoa responsável por concluir esta avaliação,Wajibu wa mtu anayehusika na kukamilisha Tathmini hii,Rôle de la personne responsable de la réalisation de cette évaluation,Anjara asan'ny tompon'andraikitra amin'ny fanatontosana ity Fanombanana ity
pages.assessments.edit.tabs.data.labels.year,Select Year,Pilih Tahun,Seleccionar año,Selecione o ano,Chagua mwaka,Sélectionner l'année,Fanteno ny taona
pages.assessments.edit.tabs.data.people.academic,Academic,Akademik,Académico,Acadêmica,Kitaaluma,Académique,Akademika
pages.assessments.edit.tabs.data.people.community,Local community,Komunitas lokal,Comunidad local,Comunidade local,Jumuiya ya mtaa,Collectivité locale,Fiaraha-monina eo an-toerana
pages.assessments.edit.tabs.data.people.government,Government,Pemerintah,Gobierno,Governo,Serikali,Gouvernement,Fitondram-panjakana
pages.assessments.edit.tabs.data.people.indigenous,Indigenous peoples,Masyarakat adat,Pueblos indígenas,Pessoas indígenas,Watu wa asili,Peuples autochtones,Vahoaka Zafintany
pages.assessments.edit.tabs.data.people.ngo,NGO,NGO,NGO,ONG,NGO,ONG,Vondrona Tsy Miankina amin'ny Fanjakana
pages.assessments.edit.tabs.data.people.notes,Value must be between 0 and 10,,,,,,
pages.assessments.edit.tabs.data.people.private,Private sector,Sektor swasta,Sector privado,Setor privado,Sekta binafsi,Secteur privé,Sehatra tsy miankina
pages.assessments.edit.tabs.data.people.title,Number of people engaged    from key stakeholder groups,Jumlah orang yang terlibat dari kelompok pemangku kepentingan kunci,Número de personas involucradas de titulares de derechos clave y otros grupos de actores,Número de pessoas envolvidas nos principais grupos de detentores de direitos e outros atores,Idadi ya watu wanaohusika kutoka kwa wenye haki muhimu na vikundi vingine vya wahusika,Nombre de personnes mobilisées parmi les principaux groupes d'intervenants,Isan'ny olona nandray anjara avy amin'ireo vondrona lehibe mpandray anjara
pages.assessments.edit.tabs.data.tabButton,Assessment data,Data penilaian,Datos de evaluación,Dados de avaliação,Data ya tathmini,Données d'évaluation,Angon-drakitra fanombanana
pages.assessments.edit.tabs.data.title,Edit Assessment Data,Edit Data Penilaian,Editar datos de evaluación,Editar dados de avaliação,Hariri Data ya Tathmini,Modifier les données d'évaluation,Manova ny angon-drakitra fanombanana
pages.assessments.edit.tabs.managementArea.buttons.addZone,Add a new Zone,Tambahkan zona baru,Agregar una nueva Zona,Adicionar uma nova zona,Ongeza Eneo jipya,Ajouter une nouvelle zone,Manampy faritra vaovao
pages.assessments.edit.tabs.managementArea.labels.containedBy,"Select any other Managed Areas related to this MA. If none, skip.","Pilih Kawasan yang Dikelola lain yang terkait dengan KA ini. Jika tidak ada, lewati.","Seleccione cualquier otra área de gestión relacionada con este área de gestión. Si ninguno, omita.","Selecione quaisquer outras Áreas Gerenciadas relacionadas a esta Área de Manejo. Se não houver, pule.","Chagua Maeneo mengine yoyote yanayosimamiwa yanayohusiana na MA hii. Ikiwa hakuna, ruka.","Sélectionnez d'autres zones gérées liées à cette zone sous gestion. S'il n'y en a pas, ignorez."," Safidio izay faritra tantanana hafa mifandraika amin'ity faritra tantanana ity. Raha tsy misy dia dingano.
"
pages.assessments.edit.tabs.managementArea.labels.containedByNotes,"Select any Managed Areas that are adjacent to, or nested within or above, the MA being assessed here. If none, skip.",,,,,,
pages.assessments.edit.tabs.managementArea.labels.countries,Country/Countries where MA is located,Negara/Negara tempat KA berada,País/Países donde se encuentra el área de gestión,País/países onde Área de Manejo está localizada,Nchi/Nchi ambako MA iko,Pays(s) où se trouve la zone sous gestion,Firenena misy ny faritra tantanana
pages.assessments.edit.tabs.managementArea.labels.dateEstablished,Date of formal establishment (if applicable),Tanggal pendirian formal (jika berlaku),Fecha de establecimiento formal (si corresponde),Data de estabelecimento formal (se aplicável),Tarehe ya kuanzishwa rasmi (ikiwa inafaa),Date d'établissement officiel (si applicable),Daty niorenana ara-dalàna (raha misy)
pages.assessments.edit.tabs.managementArea.labels.geospatialSources,Please list the source of the geospatial information,Harap daftarkan sumber informasi geospasial,Indique la fuente de la información geoespacial,Liste a fonte das informações geoespaciais,Tafadhali orodhesha chanzo cha maelezo ya kijiografia,Veuillez indiquer la source de l'information géospatiale.,Tanisao azafady ny loharanonan'ny torohay mifandraika amin'ny toerana ara-jeôgrafika
pages.assessments.edit.tabs.managementArea.labels.governanceType,MA Governance type,Jenis tata kelola KA,Tipo de gobernanza de la área de gestión,Tipo de governança Área de Manejo,Aina ya Utawala wa MA,Type de gouvernance de la zone sous gestion,Karazana fehim-pitantanana ny faritra tantanana
pages.assessments.edit.tabs.managementArea.labels.managementAuthority,Name of management authority,Nama otoritas pengelolaan,Nombre de la autoridad de gestión,Nome da autoridade de gestão,Jina la mamlaka ya usimamizi,Nom de l'organe de gestion,Anaran'ny fahefana mpitantana
pages.assessments.edit.tabs.managementArea.labels.managementAuthorityNotes,"If you can't find the right management authority, create a new one by entering the organization and clicking the ""create"" button",,,,,,
pages.assessments.edit.tabs.managementArea.labels.name,Name of managed area,Nama kawasan yang dikelola,Nombre de la nueva área de gestión,Nome da nova área gerenciada,Jina la eneo jipya linalodhibitiwa,Nom de la nouvelle zone sous gestion,Anaran'ny faritra tantanana vaovao
pages.assessments.edit.tabs.managementArea.labels.no,No,Tidak,No,Não,Hapana,Non,Tsia
pages.assessments.edit.tabs.managementArea.labels.objectives,MA objectives,Tujuan KA,objetivos de la área de gestión,Objetivos da Área de Manejo,Malengo ya MA,Objectifs de la zone sous gestion,Tanjon'ny faritra tantanana
pages.assessments.edit.tabs.managementArea.labels.protectedArea,Associated ID in World Database on Protected Areas,ID Terkait di Basis Data Dunia tentang Kawasan yang Dilindungi,Identificación asociada en la base de datos mundial sobre áreas protegidas,ID Associada na Base de Dados Mundial sobre Áreas Protegidas,Kitambulisho Kinachohusishwa katika Hifadhidata ya Dunia ya Maeneo Yanayolindwa,ID associé dans la base de données mondiale sur les aires protégées,Laharana Famantarana mifandraika aminy ao amin'ny tahiry maneran-tany momba ny Faritra arovana
pages.assessments.edit.tabs.managementArea.labels.protectedAreaWdpaIdHelp,WDPA ID can be found on the protected planet website.,ID WDPA dapat ditemukan di situs web planet yang dilindungi.,El ID de WDPA se puede encontrar en el sitio web de protected planet.,WDPA ID can be found on the protected planet website.,Kitambulisho cha WDPA kinaweza kupatikana kwenye tovuti ya sayari iliyolindwa.,L'identifiant WDPA peut être trouvé sur le site web Protected Planet.,Azo jerena ao amin'ny tranonkalan'ny Protected Planet ny laharana famantarana WDPA.
pages.assessments.edit.tabs.managementArea.labels.protectedAreaWdpaIdHelpLink,Click here to search,Klik di sini untuk mencari,Haga clic aquí para buscar,Click here to search,Bofya hapa kutafuta,Cliquez ici pour effectuer une recherche,Tsindrio eto raha hikaroka
pages.assessments.edit.tabs.managementArea.labels.recognitionLevel,Are the rights of the MA authority formally recognized at the…,Apakah hak otoritas KA secara formal diakui di‚Ä¶,¿Se reconocen formalmente los derechos de la autoridad de la área de gestión en el...,Os direitos da autoridade Área de Manejo são formalmente reconhecidos no…,"Je, haki za mamlaka ya MA zinatambuliwa rasmi katika…",FAUX,DISO
pages.assessments.edit.tabs.managementArea.labels.regions,State(s)/Province(s) where MA is located,Negara bagian/Provinsi tempat KA berada,Estado(s)/Provincia(s) donde se encuentra el área de gestión,Estado(s)/província(s) onde Área de Manejo está localizado,Jimbo/Mkoa ambapo MA inapatikana,État(s)/Province(s) où se trouve la zone sous gestion,Faritra/Faritany misy ny faritra tantanana
pages.assessments.edit.tabs.managementArea.labels.reportedSize,Size of MA (ha),Ukuran KA (ha),Tamaño de la área de gestión (ha),Tamanho da Área de Manejo (ha),Ukubwa wa MA (ha),Taille de la zone sous gestion (ha),Haben'ny Faritra Tantanana (ha)
pages.assessments.edit.tabs.managementArea.labels.stakeholderGroups,Number of people engaged from key stakeholder groups,Jumlah orang yang terlibat dari kelompok pemangku kepentingan kunci,Número de personas involucradas de titulares de derechos clave y otros grupos de actores,Número de pessoas envolvidas nos principais grupos de detentores de direitos e outros atores,Idadi ya watu wanaohusika kutoka kwa wenye haki muhimu na vikundi vingine vya wahusika,Nombre de personnes mobilisées parmi les principaux groupes d'intervenants,Isan'ny olona nandray anjara avy amin'ireo vondrona lehibe mpisehatra
pages.assessments.edit.tabs.managementArea.labels.supportSources,"Does the MA management authority receive technical, financial or other types of support from any of the following groups or organizations?","Apakah otoritas pengelolaan KA menerima dukungan teknis, keuangan atau jenis lain dari kelompok atau organisasi berikut?","¿Recibe la autoridad de gestión de la área de gestión apoyo técnico, financiero o de otro tipo de alguno de los siguientes grupos u organizaciones?","A autoridade de gestão da Área de Manejo recebe apoio técnico, financeiro ou de outro tipo de algum dos seguintes grupos ou organizações?","Je, mamlaka ya usimamizi wa MA inapokea usaidizi wa kiufundi, kifedha au aina nyingine kutoka kwa mojawapo ya vikundi au mashirika yafuatayo?","L'organe de gestion de la zone reçoit-il un soutien technique, financier ou autre de la part de l'un des groupes ou organisations suivants ?","Mahazo fanohanana ara-teknika, ara-bola, na hafa avy amin'ireto vondrona manaraka ireto ve ny manampahefana mpitantana ny Faritra Tantana?"
pages.assessments.edit.tabs.managementArea.labels.title,Zones,Zona,Zonas,Zonas,Kanda,Zones,FARITRA
pages.assessments.edit.tabs.managementArea.labels.yes,Yes,Ya,Yes,Sim,Ndiyo,Oui,Eny
pages.assessments.edit.tabs.managementArea.labels.zoneLevel,Select the level of access that best describes this zone,Pilih tingkat akses yang paling sesuai dengan zona ini,Seleccione el nivel de acceso que mejor describa esta zona,Selecione o nível de acesso que melhor descreve esta zona,Chagua kiwango cha ufikiaji kinachoelezea vyema eneo hili,Sélectionnez le niveau d'accès qui décrit le mieux cette zone,"Safidio ny lentan'ny fahafahana miditra izay mamaritra tsara indrindra ity faritra ity
"
pages.assessments.edit.tabs.managementArea.labels.zoneName,Name of the zone,Nama zona,Nombre de la zona,Nome da zona,Jina la eneo,Nom de la zone,Anaran'ny faritra
